"major","did_not_borrow","deferring_payments_on_loans","repaying_loans","loans_are_paid_off_or_forgiven","defaulted"
"computer_and_information_sciences",30.3687,7.6358,44.8045,16.0163,1.1747
"engineering_and_engineering_technology",38.9754,5.9280,39.0945,15.3305,0.6716
"bio_and_phys_science_sci_tech_math_agriculture",28.7922,22.2900,36.5304,10.8443,1.5431
"general_studies_and_other",30.4578,14.5722,43.1735,9.9553,1.8413
"social_sciences",25.4022,17.7444,46.1011,8.1296,2.6227
"humanities",28.8467,17.9065,41.4516,8.9388,2.8563
"health_care_fields",24.2171,12.7291,50.8426,9.6899,2.5212
"business",31.1331,10.4972,44.6957,11.0251,2.6488
"education",28.0273,12.4469,48.4350,7.2720,3.8188
"other_applied",24.0620,11.8350,51.8366,8.5877,3.6788
