"major","initial_earnings","year_6_earnings","year_11_earnings","year_26_earnings"
"accounting_and_actuarial_science",37.3,52.9,63.9,70.4
"advertising_and_public_relations",25.5,45.2,56.0,59.2
"aerospace_engineering",39.9,71.4,90.5,111.7
"agricultural_economics",29.1,48.6,58.9,64.8
"animal_sciences",26.2,35.5,46.1,51.9
"anthropology_and_archeology",19.2,32.1,43.0,46.2
"architecture",26.7,47.2,60.4,68.7
"civilization_studies",18.4,38.4,50.0,45.1
"art_and_music_education",20.2,36.6,41.2,43.2
"art_history_and_criticism",23.4,35.5,43.7,44.9
"biochemistry_and_molecular_biology",26.4,48.9,65.3,74.6
"biological_biomedical_and_environmental_engineering",36.9,61.0,80.5,73.6
"biology",23.3,42.7,55.1,61.0
"botany_ecology_and_zoology",17.7,34.1,45.8,53.9
"business_management_and_administration",30.4,46.4,57.4,65.1
"chemical_engineering",52.5,78.0,93.4,113.1
"chemistry",31.2,47.2,62.7,69.8
"civil_engineering",38.4,63.1,78.3,96.9
"commercial_art_and_graphic_design",24.8,39.1,48.0,43.7
"communication_technologies",25.1,39.0,55.1,48.4
"communications",25.1,43.7,54.2,53.7
"composition_and_speech",16.5,32.9,46.0,52.0
"computer_engineering",49.2,73.0,96.6,102.7
"computer_science",38.7,59.9,76.6,87.9
"construction_services",39.0,59.4,76.2,80.1
"criminology_and_criminal_justice",24.6,42.0,55.1,61.8
"drama_and_theater_arts",15.6,31.0,38.4,48.2
"early_childhood_education",22.6,33.9,34.3,35.5
"earth_and_other_physical_sciences",25.9,45.9,57.5,78.7
"economics",38.1,56.9,78.5,76.3
"electrical_engineering",53.9,68.5,88.3,104.1
"elementary_education",22.4,35.3,38.0,41.5
"energy_and_extraction_engineering",50.3,78.3,85.1,111.8
"engineering_technologies",31.4,55.3,68.5,76.2
"english_language_and_literature",21.6,36.1,46.3,48.3
"environment_and_natural_resources",20.3,39.9,52.8,63.3
"family_and_consumer_sciences",23.1,33.9,38.0,38.8
"film_video_and_photographic_arts",18.9,35.9,44.7,50.2
"finance",38.3,58.2,72.6,81.0
"fine_and_studio_arts",15.7,33.0,38.6,41.7
"general_agriculture",26.8,43.8,48.7,54.5
"general_education",25.2,37.8,40.9,44.6
"general_engineering",47.2,68.7,80.0,85.1
"geography",30.0,43.4,53.8,61.4
"health_and_medical_administration",21.2,40.1,50.4,58.4
"history",20.8,40.2,52.8,55.0
"hospitality_management",29.8,37.9,50.4,56.7
"human_resources_and_personnel_management",31.0,44.9,55.2,64.2
"industrial_and_manufacturing_engineering",53.6,64.7,81.5,92.2
"international_business_and_business_economics",33.1,52.0,63.1,60.6
"journalism",25.2,40.4,52.0,55.8
"language_and_drama_education",21.6,37.7,40.7,42.9
"liberal_arts",18.5,34.6,45.3,52.7
"linguistics_and_foreign_languages",20.8,38.7,46.1,48.9
"marketing_and_marketing_research",33.1,48.9,60.7,63.4
"mass_media",21.2,41.0,48.8,51.9
"math_and_science_teacher_education",33.0,38.7,41.7,48.1
"mathematics_and_statistics",32.1,47.8,67.7,79.6
"mechanical_engineering",49.0,69.5,85.0,103.7
"medical_technologies",29.7,46.1,49.5,54.2
"microbiology_physiology_genetics_and_neuroscience",24.0,43.5,57.2,62.4
"multidisciplinary_science",27.5,44.6,55.3,61.5
"music",17.5,33.0,40.9,41.3
"nursing",44.2,54.4,58.7,65.1
"operations_and_logistics",44.4,59.8,75.2,83.7
"philosophy_and_religious_studies",18.4,36.1,47.7,51.1
"physical_and_health_education_teaching",16.9,36.7,42.8,50.6
"physical_fitness_nutrition_and_sports_studies",18.7,38.6,48.2,47.0
"physics",32.0,50.0,78.2,88.7
"political_science_and_government",25.9,46.8,61.8,66.0
"production_and_transportation_technologies",24.1,54.9,70.6,78.4
"psychology",22.0,36.2,45.3,46.8
"public_administration_and_policy",24.9,39.9,49.5,53.0
"secondary_teacher_education",23.7,37.3,44.2,51.2
"social_science_or_history_teacher_education",18.8,36.3,41.8,52.3
"social_work",20.6,33.0,37.9,38.0
"sociology",23.6,40.0,48.1,46.7
"special_needs_education",34.4,38.2,39.7,44.6
"theology_and_religious_vocations",18.9,32.6,37.5,44.9
"treatment_therapy_professions",19.1,40.5,52.5,56.9
